CampaignName|,CamNumberOfInboundCalls|,CamInbCallsInQ|,CamAgentNumberOfCalls|,CamInboundDurationOfCalls|,CamNumberOfCompletedInIVRCalls|,CamInbAverageWaitTime
Support|,0|,0|,0|,0|,0|,0
Events|,1|,1|,0|,5|,0|,0
Sales|,0|,0|,0|,0|,0|,0
Private|,0|,0|,0|,0|,0|,0
כללית_בית|,259|,138|,132|,30736|,57|,228
כללית_בית_סגור|,16|,0|,0|,489|,5|,0
הקלטה|,0|,0|,0|,0|,0|,0
כללית_מושלם|,24|,24|,21|,3117|,0|,163
כללית_תחזוקה|,142|,142|,118|,24085|,0|,163
נפגעי_עבודה|,6|,6|,2|,1630|,0|,116
עובדי_חברה|,39|,39|,32|,5880|,0|,167
תאום_ביקורות|,0|,0|,0|,0|,0|,0
